x-axis,D0-D7
second,
-50.00000E-06,239
-49.95000E-06,239
-49.90000E-06,239
-49.85000E-06,239
-49.80000E-06,152
-49.75000E-06,152
-49.70000E-06,152
-49.65000E-06,152
-49.60000E-06,152
-49.55000E-06,152
-49.50000E-06,152
-49.45000E-06,152
-49.40000E-06,152
-49.35000E-06,152
-49.30000E-06,153
-49.25000E-06,153
-49.20000E-06,153
-49.15000E-06,153
-49.10000E-06,153
-49.05000E-06,153
-49.00000E-06,153
-48.95000E-06,153
-48.90000E-06,153
-48.85000E-06,153
-48.80000E-06,153
-48.75000E-06,154
-48.70000E-06,154
-48.65000E-06,154
-48.60000E-06,154
-48.55000E-06,154
-48.50000E-06,154
-48.45000E-06,154
-48.40000E-06,154
-48.35000E-06,154
-48.30000E-06,154
-48.25000E-06,155
-48.20000E-06,155
-48.15000E-06,155
-48.10000E-06,155
-48.05000E-06,155
-48.00000E-06,155
-47.95000E-06,155
-47.90000E-06,155
-47.85000E-06,155
-47.80000E-06,155
-47.75000E-06,159
-47.70000E-06,156
-47.65000E-06,156
-47.60000E-06,156
-47.55000E-06,156
-47.50000E-06,156
-47.45000E-06,156
-47.40000E-06,156
-47.35000E-06,156
-47.30000E-06,156
-47.25000E-06,156
-47.20000E-06,157
-47.15000E-06,157
-47.10000E-06,157
-47.05000E-06,157
-47.00000E-06,157
-46.95000E-06,157
-46.90000E-06,157
-46.85000E-06,157
-46.80000E-06,157
-46.75000E-06,157
-46.70000E-06,158
-46.65000E-06,158
-46.60000E-06,158
-46.55000E-06,158
-46.50000E-06,158
-46.45000E-06,158
-46.40000E-06,158
-46.35000E-06,158
-46.30000E-06,158
-46.25000E-06,158
-46.20000E-06,159
-46.15000E-06,159
-46.10000E-06,159
-46.05000E-06,159
-46.00000E-06,159
-45.95000E-06,159
-45.90000E-06,159
-45.85000E-06,159
-45.80000E-06,159
-45.75000E-06,159
-45.70000E-06,159
-45.65000E-06,216
-45.60000E-06,216
-45.55000E-06,216
-45.50000E-06,216
-45.45000E-06,216
-45.40000E-06,216
-45.35000E-06,216
-45.30000E-06,216
-45.25000E-06,216
-45.20000E-06,216
-45.15000E-06,217
-45.10000E-06,217
-45.05000E-06,217
-45.00000E-06,217
-44.95000E-06,217
-44.90000E-06,217
-44.85000E-06,217
-44.80000E-06,217
-44.75000E-06,217
-44.70000E-06,217
-44.65000E-06,217
-44.60000E-06,218
-44.55000E-06,218
-44.50000E-06,218
-44.45000E-06,218
-44.40000E-06,218
-44.35000E-06,218
-44.30000E-06,218
-44.25000E-06,218
-44.20000E-06,218
-44.15000E-06,218
-44.10000E-06,219
-44.05000E-06,219
-44.00000E-06,219
-43.95000E-06,219
-43.90000E-06,219
-43.85000E-06,219
-43.80000E-06,219
-43.75000E-06,219
-43.70000E-06,219
-43.65000E-06,219
-43.60000E-06,223
-43.55000E-06,220
-43.50000E-06,220
-43.45000E-06,220
-43.40000E-06,220
-43.35000E-06,220
-43.30000E-06,220
-43.25000E-06,220
-43.20000E-06,220
-43.15000E-06,220
-43.10000E-06,220
-43.05000E-06,221
-43.00000E-06,221
-42.95000E-06,221
-42.90000E-06,221
-42.85000E-06,221
-42.80000E-06,221
-42.75000E-06,221
-42.70000E-06,221
-42.65000E-06,221
-42.60000E-06,221
-42.55000E-06,222
-42.50000E-06,222
-42.45000E-06,222
-42.40000E-06,222
-42.35000E-06,222
-42.30000E-06,222
-42.25000E-06,222
-42.20000E-06,222
-42.15000E-06,222
-42.10000E-06,222
-42.05000E-06,223
-42.00000E-06,223
-41.95000E-06,223
-41.90000E-06,223
-41.85000E-06,223
-41.80000E-06,223
-41.75000E-06,223
-41.70000E-06,223
-41.65000E-06,223
-41.60000E-06,223
-41.55000E-06,223
-41.50000E-06,184
-41.45000E-06,184
-41.40000E-06,184
-41.35000E-06,184
-41.30000E-06,184
-41.25000E-06,184
-41.20000E-06,184
-41.15000E-06,184
-41.10000E-06,184
-41.05000E-06,184
-41.00000E-06,185
-40.95000E-06,185
-40.90000E-06,185
-40.85000E-06,185
-40.80000E-06,185
-40.75000E-06,185
-40.70000E-06,185
-40.65000E-06,185
-40.60000E-06,185
-40.55000E-06,185
-40.50000E-06,187
-40.45000E-06,186
-40.40000E-06,186
-40.35000E-06,186
-40.30000E-06,186
-40.25000E-06,186
-40.20000E-06,186
-40.15000E-06,186
-40.10000E-06,186
